Image,WorkerID,Country,name1,name2,name3,name1_isflower,name1_corrected,name1_classification,name1_species,name1_genus,name1_family,name1_specific,name2_isflower,name2_corrected,name2_classification,name2_species,name2_genus,name2_family,name2_specific,name3_isflower,name3_corrected,name3_classification,name3_species,name3_genus,name3_family,name3_specific
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X,niche1,NLD,rubus,,,TRUE,rubus,3,,http://dbpedia.org/resource/Blackberry,http://dbpedia.org/resource/Rosaceae,http://dbpedia.org/resource/Blackberry,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1879,niche1,NLD,unable,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-769,niche1,NLD,unable,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1883-A-6931,niche1,NLD,hyacinth,,,TRUE,hyacinth,4,,http://dbpedia.org/resource/Hyacinth_(plant),http://dbpedia.org/resource/Asparagaceae,http://dbpedia.org/resource/Hyacinth_(plant),FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1883-A-7286,niche1,NLD,dianthus,,,TRUE,dianthus,3,,http://dbpedia.org/resource/Dianthus,http://dbpedia.org/resource/Caryophyllaceae,http://dbpedia.org/resource/Dianthus,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1883-A-7298,niche1,NLD,lily,,,TRUE,lilium,4,,http://dbpedia.org/resource/Lilium,http://dbpedia.org/resource/Liliaceae,http://dbpedia.org/resource/Lilium,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1883-A-7386,niche1,NLD,unable,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1885-A-8964,niche1,NLD,unable,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1887-A-11437,niche1,NLD,aquilegia,,,TRUE,aquilegia,3,,http://dbpedia.org/resource/Aquilegia,http://dbpedia.org/resource/Ranunculaceae,http://dbpedia.org/resource/Aquilegia,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1887-A-11844,niche1,NLD,holly,lemon,,TRUE,holly,2,http://dbpedia.org/resource/Holly,http://dbpedia.org/resource/Holly,http://dbpedia.org/resource/Holly,http://dbpedia.org/resource/Holly,TRUE,lemon,2,http://dbpedia.org/resource/Lemon,http://dbpedia.org/resource/Citrus,http://dbpedia.org/resource/Rutaceae,http://dbpedia.org/resource/Lemon,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1890-A-15384,niche1,NLD,unable,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1895-A-18745,niche1,NLD,unable,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1903-A-23887,niche1,NLD,dianthus,,,TRUE,dianthus,3,,http://dbpedia.org/resource/Dianthus,http://dbpedia.org/resource/Caryophyllaceae,http://dbpedia.org/resource/Dianthus,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1903-A-24091,niche1,NLD,sunflower,,,TRUE,sunflower,2,http://dbpedia.org/resource/Sunflower,http://dbpedia.org/resource/Helianthus,http://dbpedia.org/resource/Asteraceae,http://dbpedia.org/resource/Sunflower,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1906-1284,niche1,NLD,shepherd's cress,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1906-2945,niche1,NLD,unable,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1906-3091,niche1,NLD,bay laurel,,,TRUE,bay laurel,2,http://dbpedia.org/resource/Bay_Laurel,http://dbpedia.org/resource/Laurus,http://dbpedia.org/resource/Lauraceae,http://dbpedia.org/resource/Bay_Laurel,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1907-39,niche1,NLD,unable,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,
https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1907-4586,niche1,NLD,unable,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,
